id,target
0,0
1,1
2,1
3,1
4,1
5,0
6,1
7,0
8,1
9,0
10,0
11,1
12,1
13,0
14,0
15,1
16,0
17,1
18,0
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,0
27,1
28,0
29,1
30,1
31,1
32,0
33,0
34,0
35,1
36,0
37,1
38,1
39,0
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,0
50,1
51,0
52,1
53,1
54,0
55,1
56,1
57,1
58,0
59,0
60,1
61,1
62,0
63,1
64,0
65,0
66,0
67,1
68,1
69,0
70,0
71,1
72,1
73,1
74,1
75,1
76,0
77,1
78,0
79,0
80,1
81,0
82,0
83,0
84,1
85,1
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,0
95,1
96,0
97,0
98,0
99,0
100,1
101,1
102,0
103,1
104,1
105,0
106,1
107,0
108,1
109,0
110,0
111,0
112,1
113,1
114,1
115,1
116,1
117,0
118,0
119,1
120,1
121,1
122,1
123,0
124,1
125,1
126,1
127,1
128,0
129,0
130,0
131,0
132,0
133,1
134,0
135,1
136,1
137,1
138,1
139,0
140,1
141,1
142,1
143,1
144,1
145,1
146,0
147,1
148,1
149,1
150,1
151,0
152,1
153,1
154,1
155,0
156,1
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,0
165,0
166,0
167,1
168,0
169,1
170,0
171,0
172,1
173,1
174,0
175,1
176,1
177,1
178,1
179,0
180,1
181,1
182,1
183,0
184,0
185,0
186,0
187,0
188,0
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,0
197,1
198,1
199,0
200,0
201,1
202,0
203,0
204,1
205,1
206,1
207,1
208,0
209,0
210,1
211,0
212,1
213,0
214,1
215,1
216,0
217,1
218,1
219,1
220,1
221,1
222,1
223,0
224,1
225,1
226,1
227,0
228,1
229,1
230,0
231,0
232,1
233,0
234,0
235,0
236,1
237,0
238,1
239,0
240,0
241,1
242,1
243,0
244,0
245,1
246,0
247,1
248,1
249,1
250,0
251,1
252,1
253,0
254,1
255,1
256,0
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,0
266,0
267,0
268,1
269,0
270,1
271,1
272,0
273,0
274,1
275,0
276,1
277,0
278,0
279,1
280,1
281,0
282,0
283,1
284,0
285,0
286,0
287,1
288,0
289,1
290,1
291,1
292,0
293,1
294,1
295,1
296,0
297,1
298,1
299,1
300,0
301,1
302,0
303,1
304,0
305,1
306,1
307,0
308,1
309,0
310,1
311,0
312,0
313,1
314,0
315,0
316,0
317,1
318,1
319,1
320,1
321,0
322,0
323,0
324,0
325,0
326,1
327,1
328,1
329,0
330,0
331,1
332,0
333,1
334,1
335,1
336,1
337,0
338,0
339,0
340,1
341,0
342,1
343,1
344,1
345,0
346,0
347,1
348,0
349,0
350,1
351,1
352,1
353,1
354,0
355,1
356,0
357,1
358,1
359,0
360,1
361,0
362,1
363,0
364,1
365,0
366,0
367,0
368,1
369,0
370,1
371,1
372,1
373,0
374,1
375,0
376,0
377,0
378,0
379,0
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,0
405,1
406,1
407,1
408,1
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,1
417,0
418,1
419,0
420,1
421,1
422,1
423,1
424,1
425,0
426,1
427,1
428,1
429,1
430,0
431,1
432,1
433,1
434,1
435,0
436,1
437,0
438,1
439,0
440,0
441,0
442,1
443,0
444,1
445,0
446,1
447,0
448,1
449,0
450,1
451,0
452,1
453,0
454,0
455,0
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,0
464,0
465,0
466,0
467,0
468,0
469,1
470,0
471,1
472,1
473,1
474,1
475,1
476,0
477,1
478,0
479,1
480,0
481,1
482,0
483,0
484,0
485,1
486,1
487,1
488,0
489,1
490,0
491,0
492,1
493,1
494,0
495,0
496,1
497,1
498,0
499,1
500,0
501,1
502,1
503,1
504,1
505,0
506,1
507,0
508,0
509,0
510,1
511,0
512,0
513,0
514,0
515,1
516,1
517,1
518,1
519,0
520,1
521,1
522,0
523,1
524,1
525,1
526,1
527,1
528,1
529,0
530,1
531,1
532,0
533,0
534,0
535,0
536,0
537,1
538,0
539,1
540,0
541,1
542,1
543,1
544,0
545,0
546,1
547,1
548,1
549,0
550,1
551,0
552,0
553,1
554,0
555,1
556,0
557,1
558,1
559,0
560,0
561,0
562,1
563,1
564,0
565,1
566,1
567,1
568,0
569,0
570,1
571,1
572,0
573,1
574,0
575,1
576,1
577,1
578,0
579,1
580,0
581,0
582,1
583,0
584,1
585,1
586,0
587,1
588,1
589,0
590,1
591,0
592,0
593,0
594,1
595,0
596,0
597,0
598,1
599,1
600,0
601,1
602,1
603,1
604,0
605,0
606,1
607,1
608,1
609,0
610,1
611,1
612,1
613,0
614,1
615,0
616,1
617,1
618,1
619,1
620,0
621,1
622,0
623,0
624,0
625,1
626,1
627,1
628,1
629,0
630,0
631,0
632,0
633,0
634,0
635,1
636,0
637,0
638,1
639,1
640,0
641,0
642,0
643,0
644,1
645,0
646,1
647,0
648,0
649,1
650,1
651,0
652,0
653,1
654,0
655,1
656,1
657,0
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,0
671,1
672,0
673,0
674,1
675,0
676,0
677,1
678,0
679,1
680,0
681,0
682,1
683,0
684,1
685,1
686,0
687,0
688,1
689,0
690,0
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,0
702,1
703,1
704,0
705,0
706,0
707,1
708,0
709,0
710,1
711,1
712,1
713,1
714,0
715,1
716,1
717,0
718,1
719,1
720,1
721,0
722,1
723,0
724,1
725,1
726,0
727,0
728,1
729,1
730,1
731,0
732,0
733,0
734,0
735,1
736,0
737,1
738,0
739,1
740,0
741,0
742,0
743,1
744,1
745,1
746,0
747,1
748,1
749,1
750,0
751,1
752,0
753,0
754,0
755,1
756,1
757,1
758,0
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,0
774,1
775,0
776,1
777,0
778,0
779,1
780,0
781,0
782,0
783,0
784,1
785,1
786,0
787,0
788,1
789,0
790,0
791,1
792,1
793,1
794,1
795,0
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,0
805,1
806,1
807,1
808,1
809,1
810,1
811,0
812,1
813,0
814,0
815,0
816,1
817,0
818,1
819,0
820,1
821,1
822,1
823,0
824,0
825,1
826,0
827,0
828,1
829,1
830,0
831,0
832,1
833,1
834,0
835,1
836,0
837,1
838,1
839,0
840,0
841,1
842,0
843,1
844,1
845,1
846,1
847,1
848,1
849,0
850,1
851,0
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,0
860,1
861,1
862,1
863,0
864,0
865,0
866,0
867,1
868,0
869,0
870,0
871,1
872,1
873,1
874,0
875,1
876,0
877,1
878,1
879,1
880,1
881,1
882,1
883,0
884,1
885,0
886,0
887,1
888,1
889,1
890,0
891,1
892,1
893,0
894,1
895,1
896,1
897,0
898,1
899,0
900,0
901,0
902,0
903,0
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,0
913,1
914,1
915,0
916,1
917,1
918,1
919,1
920,1
921,0
922,0
923,1
924,1
925,0
926,0
927,0
928,1
929,1
930,1
931,1
932,1
933,1
934,0
935,1
936,0
937,0
938,1
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,0
951,1
952,1
953,0
954,0
955,0
956,1
957,0
958,0
959,1
960,0
961,1
962,1
963,1
964,0
965,0
966,1
967,0
968,0
969,1
970,1
971,1
972,0
973,0
974,0
975,0
976,0
977,1
978,0
979,1
980,0
981,1
982,1
983,0
984,0
985,1
986,1
987,0
988,1
989,0
990,0
991,1
992,1
993,1
994,1
995,1
996,0
997,0
998,1
999,1
1000,1
1001,0
1002,1
1003,1
1004,0
1005,0
1006,1
1007,1
1008,1
1009,0
1010,0
1011,0
1012,1
1013,1
1014,1
1015,1
1016,1
1017,0
1018,1
1019,0
1020,0
1021,1
1022,1
1023,1
1024,1
1025,0
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,0
1037,1
1038,1
1039,1
1040,0
1041,0
1042,0
1043,1
1044,0
1045,0
1046,0
1047,1
1048,1
1049,0
1050,1
1051,0
1052,0
1053,1
1054,0
1055,1
1056,1
1057,1
1058,1
1059,1
1060,0
